year,county_name,yield_bu_per_acre
2021,BUCHANAN,209.0
2021,BUENA VISTA,203.9
2021,BUTLER,204.5
2021,CALHOUN,217.8
2021,CARROLL,218.3
2021,CASS,212.4
2021,CEDAR,207.1
2021,CERRO GORDO,200.0
2021,CHICKASAW,208.2
2021,CLAY,203.3
2021,CLAYTON,195.3
2021,CLINTON,206.5
2021,CRAWFORD,218.5
2021,DALLAS,209.9
2021,DAVIS,152.5
2021,DELAWARE,218.0
2021,DICKINSON,177.7
2021,DUBUQUE,217.2
2021,EMMET,182.5
2021,FAYETTE,205.6
2021,FLOYD,204.4
2021,FRANKLIN,198.9
2021,FREMONT,206.7
2021,GREENE,220.5
2021,GRUNDY,209.4
2021,GUTHRIE,220.0
2021,HANCOCK,209.8
2021,HARDIN,193.2
2021,HENRY,167.7
2021,HOWARD,207.3
2021,HUMBOLDT,205.4
2021,IDA,226.8
2021,JACKSON,191.2
2021,JASPER,221.7
2021,JEFFERSON,163.3
2021,KEOKUK,176.5
2021,KOSSUTH,190.7
2021,LEE,160.4
2021,LOUISA,189.5
2021,LUCAS,166.1
2021,LYON,216.7
2021,MADISON,195.6
2021,MAHASKA,200.5
2021,MARION,199.1
2021,MARSHALL,211.5
2021,MILLS,209.8
2021,MITCHELL,203.3
2021,MONONA,197.7
2021,MONROE,166.1
2021,MONTGOMERY,204.9
2021,MUSCATINE,204.5
2021,O BRIEN,213.5
2021,OSCEOLA,208.0
2021,OTHER COUNTIES,203.8
2021,PAGE,206.9
2021,PALO ALTO,190.1
2021,PLYMOUTH,190.9
2021,POCAHONTAS,213.9
2021,POLK,217.5
2021,POTTAWATTAMIE,216.3
2021,POWESHIEK,201.0
2021,RINGGOLD,175.8
2021,SAC,231.0
2021,SCOTT,206.8
2021,SIOUX,220.6
2021,STORY,201.2
2021,TAMA,213.9
2021,TAYLOR,192.0
2021,UNION,185.2
2021,VAN BUREN,162.5
2021,WAPELLO,178.0
2021,WAYNE,177.0
2021,WEBSTER,216.2
2021,WINNEBAGO,197.6
2021,WINNESHIEK,199.3
2021,WOODBURY,206.7
2021,WORTH,207.4
2021,WRIGHT,192.2
2022,ADAIR,164.2
2022,ALLAMAKEE,215.9
2022,APPANOOSE,146.1
2022,AUDUBON,197.9
2022,BENTON,221.7
2022,BLACK HAWK,202.4
2022,BOONE,202.4
2022,BREMER,210.8
2022,BUCHANAN,209.7
2022,BUENA VISTA,196.9
2022,BUTLER,212.4
2022,CALHOUN,202.3
2022,CARROLL,195.7
2022,CASS,179.2
2022,CEDAR,221.4
2022,CERRO GORDO,216.9
2022,CHEROKEE,198.7
2022,CHICKASAW,214.6
2022,CLAY,191.4
2022,CLAYTON,215.4
2022,CLINTON,225.2
2022,CRAWFORD,216.4
2022,DALLAS,187.2
2022,DAVIS,154.9
2022,DECATUR,148.7
2022,DELAWARE,230.8
2022,DES MOINES,194.8
2022,DICKINSON,203.4
2022,DUBUQUE,223.7
2022,EMMET,213.6
2022,FAYETTE,209.8
2022,FLOYD,204.6
2022,FRANKLIN,220.1
2022,FREMONT,191.6
2022,GREENE,197.3
2022,GRUNDY,207.5
2022,GUTHRIE,193.6
2022,HAMILTON,208.6
2022,HANCOCK,211.5
2022,HARDIN,215.6
